pers_id;sexo;edad;ingreso;situacion_lab
71906556521;F;47;35926.28125;Sin_situacion_declarada
73861260912;F;41;16231.12207;Sin_situacion_declarada
24939194469;F;40;25068.96484;Relacion_dependencia
21033369421;F;52;30239.54883;Jubilado
45334163605;F;46;12654.58203;Relacion_dependencia
45950163250;F;42;36741.95313;Relacion_dependencia
34347124153;F;59;21580.17773;Jubilado
19013301905;F;58;59715.01563;Sin_situacion_declarada
18002091908;F;47;14351.08984;Sin_situacion_declarada
39938025577;F;58;122346.4844;Sin_situacion_declarada
9202454476;F;51;17691.07617;Sin_situacion_declarada
35723294944;F;42;23752.75586;Autonomo_Monotributista
71071693571;F;47;22712.45898;Sin_situacion_declarada
81563889519;F;50;23502.25977;Sin_situacion_declarada
13667163195;F;57;15845.43164;Autonomo_Monotributista
50258264532;F;59;34864.74609;Autonomo_Monotributista
76805517927;F;55;25287.98438;Autonomo_Monotributista
11465191243;F;52;29234.07227;Sin_situacion_declarada
480680297;F;54;120907.3125;Autonomo_Monotributista
93839225375;F;46;14555.24609;Sin_situacion_declarada
24663586450;F;43;24974.73047;Autonomo_Monotributista
712638473;F;53;18329.54492;Sin_situacion_declarada
74077994394;F;43;67168.29688;Autonomo_Monotributista
19275825713;F;57;23753.08984;Sin_situacion_declarada
36257484236;F;51;49733.09766;Relacion_dependencia
12381456288;F;45;13946.94043;Sin_situacion_declarada
14867777607;F;51;26970.37891;Sin_situacion_declarada
31522043621;F;43;37810.41797;Sin_situacion_declarada
20494717101;F;52;28897.10352;Sin_situacion_declarada
94186099883;F;47;52019.91406;Relacion_dependencia
87709205131;F;51;22975.22266;Sin_situacion_declarada
54369954749;F;48;48883.16016;Sin_situacion_declarada
60347422735;F;52;62986.41016;Relacion_dependencia
31580067465;F;47;17741.36133;Relacion_dependencia
25476501041;F;47;58678.15625;Autonomo_Monotributista
89651660175;F;45;57628.94531;Relacion_dependencia
85535405611;F;42;35840.57813;Relacion_dependencia
63312136973;F;45;83766.73438;Relacion_dependencia
890224097;F;56;12797.63672;Sin_situacion_declarada
66752229582;F;44;44233.76953;Relacion_dependencia
91867498675;F;40;23255.47852;Sin_situacion_declarada
72135011880;F;51;22934.26563;Jubilado
39201303633;F;41;5601.28418;Sin_situacion_declarada
90073854103;F;58;51994.00391;Autonomo_Monotributista
12112591405;F;58;37198.66406;Relacion_dependencia
41082403223;F;57;23666.68164;Sin_situacion_declarada
77017034207;F;46;44362.84766;Relacion_dependencia
91518825795;F;44;17727.21289;Sin_situacion_declarada
32030147172;F;44;29506.35156;Sin_situacion_declarada
11313372880;F;59;10184.58203;Sin_situacion_declarada
9582753460;F;57;56154.47266;Relacion_dependencia
10839199383;F;57;44959.02734;Sin_situacion_declarada
38045107470;F;47;30690.30859;Relacion_dependencia
8090785077;F;46;66259.9375;Autonomo_Monotributista
92148680286;F;46;67527.75781;Autonomo_Monotributista
7268073096;F;45;28275.68164;Sin_situacion_declarada
52655253254;F;53;48050.15625;Autonomo_Monotributista
51858789701;F;44;9948.728516;Sin_situacion_declarada
53037619313;F;60;24612.67383;Jubilado
56398998832;F;43;6842.094727;Sin_situacion_declarada
39122698860;F;54;17220.58203;Sin_situacion_declarada
22336934070;F;40;18305.65234;Sin_situacion_declarada
86013711513;F;51;30166.6582;Relacion_dependencia
46761200863;F;57;37927.26953;Jubilado
73642932633;F;49;41491.69922;Relacion_dependencia
51320952612;F;52;28175.4082;Sin_situacion_declarada
26590062457;F;49;45485.21484;Autonomo_Monotributista
82259422750;F;48;44168.49219;Autonomo_Monotributista
94956528519;F;47;28078.38281;Relacion_dependencia
82411176570;F;47;16805.26758;Sin_situacion_declarada
24041409537;F;47;66690.72656;Sin_situacion_declarada
41171225429;F;59;32136.46484;Sin_situacion_declarada
35400800356;F;50;25486.05273;Autonomo_Monotributista
92005349835;F;51;33876.25781;Relacion_dependencia
51614999266;F;53;16429.34766;Sin_situacion_declarada
57796436430;F;51;29317.42188;Relacion_dependencia
12408472503;F;41;6717.714355;Autonomo_Monotributista
74206833165;F;43;12323.03125;Sin_situacion_declarada
54840351795;F;45;15204.24121;Sin_situacion_declarada
44647385577;F;54;14632.50586;Sin_situacion_declarada
64746092993;F;56;43170.63672;Autonomo_Monotributista
83320402224;F;44;44406.94141;Relacion_dependencia
75147742872;F;51;25351.57422;Sin_situacion_declarada
70035360693;F;45;28145.70898;Relacion_dependencia
42725853475;F;45;136560.4688;Relacion_dependencia
88880999008;F;55;21987.86914;Sin_situacion_declarada
69408193678;F;45;28559.01758;Autonomo_Monotributista
91417903201;F;59;53507.50391;Sin_situacion_declarada
61408073378;F;51;34167.55859;Sin_situacion_declarada
19786517946;F;55;72327.9375;Sin_situacion_declarada
83166513770;F;58;37945.42578;Sin_situacion_declarada
87009901686;F;56;141215.0313;Autonomo_Monotributista
