pers_id;periodo;score
27817725;201906;814
37570691;201906;597
40181240;201906;251
52105045;201906;617
63502595;201906;392
71883873;201906;110
77542792;201906;356
88457690;201906;749
92986454;201906;12
92986454;201906;829
115374139;201906;62
149628434;201906;679
176232771;201906;402
203154803;201906;383
214551356;201906;290
242749907;201906;738
248006298;201906;749
255163451;201906;681
262009559;201906;686
292751218;201906;856
314246780;201906;696
324112448;201906;423
326052148;201906;580
360157147;201906;351
368593272;201906;418
395033316;201906;290
404408073;201906;398
454609235;201906;390
480680297;201906;1
480680297;201906;634
489800212;201906;799
521707385;201906;583
540481089;201906;409
551848109;201906;1
551848109;201906;743
563948961;201906;429
567260558;201906;554
589699369;201906;580
615033590;201906;321
664887966;201906;5
697626624;201906;658
707482685;201906;940
707665418;201906;372
712638473;201906;1
724061157;201906;872
767287851;201906;492
849879749;201906;86
890224097;201906;1
917300490;201906;374
989888038;201906;26
989974689;201906;270
996529235;201906;464
1011993760;201906;801
1018123171;201906;702
1050022372;201906;306
1088166204;201906;382
1099161734;201906;583
1106272839;201906;907
1106904639;201906;700
1168522470;201906;328
1177406608;201906;1
1210384230;201906;67
1210674459;201906;171
1265437223;201906;289
1269917527;201906;619
1311369940;201906;381
1333460288;201906;625
1342965922;201906;1
1375495877;201906;211
1395587998;201906;38
1397671628;201906;539
1516894779;201906;730
1525862209;201906;859
1551701406;201906;361
1553759937;201906;90
1572860674;201906;806
1579612431;201906;907
1592440781;201906;323
1595990075;201906;417
1599402201;201906;898
1616580958;201906;922
1625728480;201906;904
1629294933;201906;949
1660293189;201906;952
1687628764;201906;784
1690342018;201906;848
1713858788;201906;438
1753875752;201906;761
1770697798;201906;81
1789254044;201906;782
1789724341;201906;925
1843768470;201906;387
1851385306;201906;408
1870038998;201906;398
1886255867;201906;2
1938616963;201906;568
1962323061;201906;428
1963985345;201906;322
1989449665;201906;606
2003225446;201906;574
2022345810;201906;864
2042302926;201906;392
2088233739;201906;240
2094613223;201906;961
2116794218;201906;581
2119395427;201906;583
2137720871;201906;671
2148009604;201906;266
2148263955;201906;870
2159357252;201906;502
2175865560;201906;416
2200874518;201906;664
2207572770;201906;861
2225966374;201906;211
2253362385;201906;393
2275821278;201906;12
2275821278;201906;824
2301641589;201906;401
2307212948;201906;235
2313907016;201906;397
2338956440;201906;349
2365327622;201906;1
2365327622;201906;754
2370529251;201906;425
2413195055;201906;280
2415258256;201906;940
2421390840;201906;851
2452945097;201906;428
2467015491;201906;90
2507592930;201906;394
2525933375;201906;675
2529890247;201906;895
2629238156;201906;1
2652740061;201906;239
2755984399;201906;407
2778009897;201906;391
2785345500;201906;205
2828522641;201906;31
2835440973;201906;406
2839973515;201906;647
2855114197;201906;1
2855114197;201906;727
2863280244;201906;653
2865682245;201906;925
2875330898;201906;799
2899486142;201906;321
2906154618;201906;940
2914568483;201906;428
2924198257;201906;816
2930770643;201906;754
2934858058;201906;955
3007545298;201906;414
3082676091;201906;931
3087879232;201906;606
3097016126;201906;311
3107497922;201906;469
3112405565;201906;355
3123665972;201906;116
3144123581;201906;943
3161025376;201906;367
3187667902;201906;1
3267122660;201906;752
3273701842;201906;504
3278066536;201906;393
3297440668;201906;385
3298835560;201906;955
3304121869;201906;397
3306429159;201906;696
3308728624;201906;24
3319086846;201906;937
3332670748;201906;485
3339956725;201906;782
3381828569;201906;660
3397598639;201906;884
3400112940;201906;763
3403713221;201906;395
3404381597;201906;5
3437798345;201906;768
3468159837;201906;426
3469729043;201906;734
3489655118;201906;789
3500442198;201906;934
3500680383;201906;415
3509959714;201906;224
3516527938;201906;717
3541527288;201906;9
3555199448;201906;414
3620726855;201906;169
3694370120;201906;104
3736191417;201906;594
3736735028;201906;772
3793725067;201906;931
3796531035;201906;634
3805242876;201906;42
3826647776;201906;606
3827537518;201906;407
3829313404;201906;368
3870712981;201906;174
3879124760;201906;550
3894039561;201906;56
3905040517;201906;56
3944036274;201906;222
3944878643;201906;362
3952491824;201906;789
3953157610;201906;570
3964613420;201906;611
3986505551;201906;564
3995898586;201906;889
4068347630;201906;961
4098357582;201906;734
4126038357;201906;796
4128397637;201906;853
4132972035;201906;409
4160069837;201906;416
4230765676;201906;809
4244211753;201906;856
4260377649;201906;489
4265176870;201906;324
4268898811;201906;244
4273239466;201906;290
4284801584;201906;809
4310184428;201906;390
4318068328;201906;784
4325038500;201906;180
4336236358;201906;898
4356515017;201906;366
4381189313;201906;801
4398869439;201906;364
4460503826;201906;335
4463058746;201906;934
4473208140;201906;796
4513044394;201906;543
4563074418;201906;369
4589470883;201906;385
4630959003;201906;958
4633612547;201906;698
4746713674;201906;732
4757077364;201906;856
4868386384;201906;796
4890691738;201906;291
4908251070;201906;622
4911572363;201906;152
4915819071;201906;351
4926861427;201906;422
4935787563;201906;937
4949096688;201906;271
4965294818;201906;738
4989239620;201906;681
4993443990;201906;706
4999473519;201906;581
5008359936;201906;391
5020596135;201906;625
5022371382;201906;311
5038187863;201906;605
5054653008;201906;343
5068863328;201906;444
5069262911;201906;69
5120259128;201906;406
5134539481;201906;949
5212443262;201906;555
5214149247;201906;196
5214462458;201906;270
5228777949;201906;12
5247484966;201906;149
5310819406;201906;247
5315989590;201906;419
5347024123;201906;922
5374731178;201906;662
5382025027;201906;410
5397237475;201906;752
5462233762;201906;625
5489183921;201906;679
5505112244;201906;581
5509924221;201906;413
5512891429;201906;747
5513753366;201906;182
5525595401;201906;19
5530958817;201906;166
5531554133;201906;64
5593348783;201906;375
5596395226;201906;367
5596519446;201906;656
5598947077;201906;17
5601860844;201906;314
5685301483;201906;904
5685559132;201906;738
5762407682;201906;584
5776746557;201906;931
5779584266;201906;794
5783616103;201906;723
5794897498;201906;600
5798272993;201906;848
5833418245;201906;9
5833418245;201906;822
5842065131;201906;756
5857664823;201906;562
5877530047;201906;353
5909298908;201906;114
5921925777;201906;232
5935423695;201906;848
5941706568;201906;428
5942270950;201906;801
5946683734;201906;152
5968211544;201906;347
5987831431;201906;614
6010103694;201906;635
6012102009;201906;875
6023667442;201906;71
6042081285;201906;102
6091587909;201906;245
6118196214;201906;508
6129247404;201906;916
6131897824;201906;187
6147032919;201906;952
6150502567;201906;940
6198411383;201906;403
6206102258;201906;1
6230172060;201906;418
6247248282;201906;302
6268035877;201906;870
6275661659;201906;252
6292270053;201906;1
6309377502;201906;949
6330691251;201906;533
6332520059;201906;761
6372013007;201906;895
6376957674;201906;1
6376957674;201906;768
6385053607;201906;437
6406769675;201906;904
6421871130;201906;875
6422490310;201906;943
6425305209;201906;965
6436302120;201906;752
6441655312;201906;67
6453394459;201906;656
6456595004;201906;837
6460881760;201906;285
6469880141;201906;202
6472616639;201906;856
6497533640;201906;383
6499221644;201906;837
6509640419;201906;591
6527960677;201906;402
6531399002;201906;449
6535008886;201906;594
6553340058;201906;704
6553456386;201906;291
6580267757;201906;154
6607315734;201906;171
6636805760;201906;840
6712117525;201906;667
6718438080;201906;779
6754706690;201906;119
6769162822;201906;412
6779693992;201906;624
6802424644;201906;472
6817805769;201906;416
6871132831;201906;482
6879441529;201906;367
6895023371;201906;311
6901069373;201906;603
6954629243;201906;12
6988441543;201906;448
7001175784;201906;94
7006732431;201906;734
7090279619;201906;482
7112370725;201906;639
7115760687;201906;679
7131310161;201906;756
7132180893;201906;843
7164162525;201906;673
7265211385;201906;740
7268073096;201906;1
7361477714;201906;58
7412427163;201906;421
7422832326;201906;664
7439745384;201906;940
7441948303;201906;864
7467544369;201906;796
7471647418;201906;756
7486259621;201906;272
7488993892;201906;937
7522341353;201906;227
7547292409;201906;390
7551442932;201906;572
7553145801;201906;881
7558596159;201906;692
7573171837;201906;460
7582802686;201906;934
7613753530;201906;768
7617894813;201906;804
7641827585;201906;664
7659789712;201906;9
7659789712;201906;819
7672903189;201906;362
7685033843;201906;600
7698112808;201906;782
7711261077;201906;557
7730364727;201906;660
7809713167;201906;770
7816112523;201906;749
7818019559;201906;864
7865860477;201906;799
7899942690;201906;745
7907541227;201906;423
7914770291;201906;176
7924515412;201906;5
7926752432;201906;247
7937800298;201906;832
7983221702;201906;907
7994481499;201906;379
8075140591;201906;622
8090785077;201906;1
8090785077;201906;658
8109532281;201906;308
8150434044;201906;684
8153717662;201906;162
8174348523;201906;749
8253142665;201906;576
8260264226;201906;745
8312235592;201906;182
8313816442;201906;617
8337825873;201906;288
8339390042;201906;14
8344985502;201906;60
8353778890;201906;69
8360435363;201906;518
8372893624;201906;435
8376978481;201906;559
8377370028;201906;619
